raw_SMILES,reaxys_id,SMILES,cas_number
FC(F)(F)C1=NC=C(Br)C=C1,9043487,FC(F)(F)c1ccc(Br)cn1,436799-32-5
NC1=NC2=C(S1)C=C(Br)C=C2,127766,Nc1nc2ccc(Br)cc2s1,15864-32-1
BrC1=NC=C(C=C1)N(=O)=O,120901,O=[N+]([O-])c1ccc(Br)nc1,4487-59-6
BrC1=CC=C2C=NC=CC2=C1,1281486,Brc1ccc2cnccc2c1,34784-05-9
BrC1=CC=C(C=N1)C#N,8760368,N#Cc1ccc(Br)nc1,139585-70-9
BrC1=CC2=C(C=C1)C1=CC=CC=C1S2,136289,Brc1ccc2c(c1)sc1ccccc12,97511-04-1
CC1=NC2=CC=C(Br)C=C2C=C1,115327,Cc1ccc2cc(Br)ccc2n1,877-42-9
FC1=CN=CC(Br)=C1,108476,Fc1cncc(Br)c1,407-20-5
BrC1=C2C=CNC2=NC=C1,9695211,Brc1ccnc2[nH]ccc12,348640-06-2
ClC1=C(Br)C=C(C=N1)S(Cl)(=O)=O,155941,O=S(=O)(Cl)c1cnc(Cl)c(Br)c1,216394-05-7
COC1=CN=CC(Br)=C1,115218,COc1cncc(Br)c1,50720-12-2
CC1=CC(Br)=CN=C1,1422252,Cc1cncc(Br)c1,3430-16-8
BrC1=CC=C2OC=CC2=C1,112876,Brc1ccc2occc2c1,23145-07-5
OC(=O)C1=NC(Br)=CC=C1,115853,O=C(O)c1cccc(Br)n1,21190-87-4
ClC1=NC=NC2=C1C(Br)=CN2,1569543,Clc1ncnc2[nH]cc(Br)c12,22276-95-5
COC1=CC(C)=C(C(=O)C2=C(Cl)C(Br)=CN=C2OC)C(OC)=C1OC,11330353,COc1cc(C)c(C(=O)c2c(OC)ncc(Br)c2Cl)c(OC)c1OC,0
BrC1=C(SC=C1)C=O,109757,O=Cc1sccc1Br,930-96-1
CC1=NC=C(Br)C=N1,108736,Cc1ncc(Br)cn1,7752-78-5
OC(=O)CSC1=NN=C(Br)N1C1=CC=C(C2CC2)C2=CC=CC=C12,12932464,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,0
BrC1=NC(=CC(=N1)C1=CC=CC=C1)C1=CC=CC=C1,4748087,Brc1nc(-c2ccccc2)cc(-c2ccccc2)n1,56181-49-8
CC(=O)C1=NC(Br)=CC=C1,1447199,CC(=O)c1cccc(Br)n1,49669-13-8
BrC1=C2C=CC=NC2=CC=C1,115148,Brc1cccc2ncccc12,4964-71-0
OCC1=CN=CC(Br)=C1,1525122,OCc1cncc(Br)c1,37669-64-0
BrC1=CC2=C(C=NN2)C=C1,10424074,Brc1ccc2cn[nH]c2c1,79762-54-2
CC1=C(Br)SC=C1,105719,Cc1ccsc1Br,14282-76-9
BrC1=CNC=N1,1615,Brc1c[nH]cn1,2302-25-2
COC(=O)C1=CC=C(Br)O1,123077,COC(=O)c1ccc(Br)o1,2527-99-3
ClC1=NC=CC=C1Br,109812,Clc1ncccc1Br,52200-48-3
COC(=O)C1=CC(Br)=CN=C1,128591,COC(=O)c1cncc(Br)c1,29681-44-5
BrC1=NC(=NC(=C1)C1=CC=CC=C1)C1=CC=CC=C1,29891917,Brc1cc(-c2ccccc2)nc(-c2ccccc2)n1,0
BrC1=CC=CC2=C1C1=CC=CC=C1N2,143008,Brc1cccc2[nH]c3ccccc3c12,3652-89-9
BrC1=CC=C2NC=C(C=O)C2=C1,124725,O=Cc1c[nH]c2ccc(Br)cc12,877-03-2
ClC1=CC=C(Br)N=C1,109098,Clc1ccc(Br)nc1,40473-01-6
